stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Dev\source\repos\Facul\PI\Solano\solano\bin\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13411] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13420] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.13444] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13454] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.13470] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13479] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.13497] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13508] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.13518] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13531] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13541] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13556] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.13564] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13577] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.13588] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13610] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.13677] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13691] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.13702] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13713] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.13724] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13737] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.13747] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13762] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.13770] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13781] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.13799] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13808] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13818] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13831] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.13842] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13861] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.13871] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13899] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.13910] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13936] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.13960] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13988] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.14004] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14013] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.14022] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14052] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.14063] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14076] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.14143] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14157] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14167] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14200] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14213] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14221] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14234] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14242] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14250] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14259] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14283] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14300] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14311] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14333] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14339] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14347] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14355] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14362] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14391] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14410] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14422] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14429] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14440] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14450] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14457] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14464] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14481] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14492] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14501] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14510] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14516] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14523] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14530] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14538] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14546] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14556] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14564] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14573] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14580] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14594] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14603] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14610] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14618] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14626] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14634] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14643] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14650] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14658] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14666] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14673] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14681] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14694] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14701] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14709] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14716] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14723] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14739] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14747] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14762] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14770] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14777] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14784] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14795] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14803] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14813] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14824] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14831] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14837] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14845] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14853] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14863] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14875] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14882] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14891] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14901] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14908] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14916] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14923] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14929] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14937] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14943] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14950] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14957] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14965] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14973] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14981] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14988] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14997] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15004] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15012] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15018] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15031] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15046] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15059] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15067] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15074] Single Buffer requirement not met.
